PalletID,Action,PalletStatus,PackSize,Amount,LotNo,MaterialCode,NameThai,ProductType,Model,Profile,Curve,Color,Coat,ProductClass,StampDateTime,FromLocationType,FromLocationCode,FromLocationName,FromRowNo,FromColNo,FromFloorNo,ToLocationType,ToLocationCode,ToLocationName,ToRowNo,ToColNo,ToFloorNo,UserCreate,UserCreateCode,PlantCode
LP26011000007749,CHECKERSETREMAINAMOUNT,GOOD,1,1,,ZCBB0006003CCO0000,ชุดอุปกรณ์ยึดครอบผนัง รุ่น ซี-โค่,ACCESSORIES,ACCESSORIES,ชุดอุปกรณ์ยึดครอบผนัง,,,,,10/04/2026 10:00:40,NORMAL,LCR20200704917,TG-126C1F1,126,1,1,NORMAL,LCR20200704917,TG-126C1F1,126,1,1,พัสดุอุปกรณ์ ,2206000015,NULL
LP26011000007761,CHECKERSETREMAINAMOUNT,GOOD,1,1,,ZCBB0006003CCO0000,ชุดอุปกรณ์ยึดครอบผนัง รุ่น ซี-โค่,ACCESSORIES,ACCESSORIES,ชุดอุปกรณ์ยึดครอบผนัง,,,,,10/04/2026 10:00:40,NORMAL,LCR20200704917,TG-126C1F1,126,1,1,NORMAL,LCR20200704917,TG-126C1F1,126,1,1,พัสดุอุปกรณ์ ,2206000015,NULL
LP26011000007774,CHECKERSETREMAINAMOUNT,GOOD,1,1,,ZCBB0006003CCO0000,ชุดอุปกรณ์ยึดครอบผนัง รุ่น ซี-โค่,ACCESSORIES,ACCESSORIES,ชุดอุปกรณ์ยึดครอบผนัง,,,,,10/04/2026 10:00:40,NORMAL,LCR20200704917,TG-126C1F1,126,1,1,NORMAL,LCR20200704917,TG-126C1F1,126,1,1,พัสดุอุปกรณ์ ,2206000015,NULL
LP26041000001728,CHECKERSETREMAINAMOUNT,REMOVE,1,0,,ZCBB0006002EC00000,ดรายเทคซิสเท็ม ซี-โค่,ACCESSORIES,ACCESSORIES,ดรายเทค,,,,,10/04/2026 10:00:40,NULL,NULL,#NAME?,NULL,NULL,NULL,NULL,NULL,#NAME?,NULL,NULL,NULL,พัสดุอุปกรณ์ ,2206000015,NULL
LP26041000001749,CHECKERSETREMAINAMOUNT,REMOVE,1,0,,ZCBB0006002EC00000,ดรายเทคซิสเท็ม ซี-โค่,ACCESSORIES,ACCESSORIES,ดรายเทค,,,,,10/04/2026 10:00:40,NULL,NULL,#NAME?,NULL,NULL,NULL,NULL,NULL,#NAME?,NULL,NULL,NULL,พัสดุอุปกรณ์ ,2206000015,NULL
LP26041000001779,CHECKERSETREMAINAMOUNT,REMOVE,1,0,,ZCBB0006002EC00000,ดรายเทคซิสเท็ม ซี-โค่,ACCESSORIES,ACCESSORIES,ดรายเทค,,,,,10/04/2026 10:00:40,NULL,NULL,#NAME?,NULL,NULL,NULL,NULL,NULL,#NAME?,NULL,NULL,NULL,พัสดุอุปกรณ์ ,2206000015,NULL
LP26041000003459,CHECKERSETREMAINAMOUNT,REMOVE,1,0,,ZCBB0006002EC00001,ดรายเทคซิสเท็ม ซี-โค่ สำหรับตะเข้สัน,ACCESSORIES,ACCESSORIES,ดรายเทค,,,,,10/04/2026 10:00:40,NULL,NULL,#NAME?,NULL,NULL,NULL,NULL,NULL,#NAME?,NULL,NULL,NULL,พัสดุอุปกรณ์ ,2206000015,NULL
LP26041000003466,CHECKERSETREMAINAMOUNT,REMOVE,1,0,,ZCBB0006002EC00001,ดรายเทคซิสเท็ม ซี-โค่ สำหรับตะเข้สัน,ACCESSORIES,ACCESSORIES,ดรายเทค,,,,,10/04/2026 10:00:40,NULL,NULL,#NAME?,NULL,NULL,NULL,NULL,NULL,#NAME?,NULL,NULL,NULL,พัสดุอุปกรณ์ ,2206000015,NULL
LP26011000007718,CHECKERSETREMAINAMOUNT,GOOD,1,1,,ZCBB0006003CCO0000,ชุดอุปกรณ์ยึดครอบผนัง รุ่น ซี-โค่,ACCESSORIES,ACCESSORIES,ชุดอุปกรณ์ยึดครอบผนัง,,,,,10/04/2026 10:00:40,NORMAL,LCR20200704917,TG-126C1F1,126,1,1,NORMAL,LCR20200704917,TG-126C1F1,126,1,1,พัสดุอุปกรณ์ ,2206000015,NULL
LP26011000007750,CHECKERSETREMAINAMOUNT,GOOD,1,1,,ZCBB0006003CCO0000,ชุดอุปกรณ์ยึดครอบผนัง รุ่น ซี-โค่,ACCESSORIES,ACCESSORIES,ชุดอุปกรณ์ยึดครอบผนัง,,,,,10/04/2026 10:00:40,NORMAL,LCR20200704917,TG-126C1F1,126,1,1,NORMAL,LCR20200704917,TG-126C1F1,126,1,1,พัสดุอุปกรณ์ ,2206000015,NULL
